8801,One of the guards warned the tourist guide about directing the excursionists to the restricted ruins.,Was the tourist guide warned?,0,practice
8802,The upset father thought that his daughter owed him an apology for her bad behavior.,Was the daughter upset?,1,practice
9901,The refugee found by the soldiers trapped under the rubble got hurt during the difficult rescue.,Did the refugee get hurt?,0,
9902,The boy who the mother woke early in the morning has bothered her about the trip to the beach.,Was the trip to the beach?,0,
9903,The veterans who the coach admired for a long time deceived him during the battle.,Was the coach deceived?,0,
9904,The desperate nuns begged the authorities to take care of them during the war.,Was there a war?,0,
9905,The zookeeper that watched the monkeys hurt himself with the cage bars while feeding them.,Was the zookeeper feeding the monkeys?,0,
9906,The waiter who served the lady a cocktail had pricked himself with a broken glass.,Was the lady drinking a cocktail?,0,
9907,An independent candidate criticized by the senators blamed them for the unemployment rates.,Was the candidate criticized?,0,
9908,The executive who oversaw the managers doubted himself on most major decisions,Were the decisions minor?,0,
9909,The man thought that the actress who made a terrible audition owed herself a second chance.,Was the audition terrible?,0,
9910,The neighbors who the couple observed from the car have purchased the old Victorian house.,Did the couple observed the neighbors?,0,
9911,The producers sued by the studio denied signing any agreement prior to the production of the single.,Were the producers sued?,0,
9912,The group of runners who the driver sees each morning on his way to work always wave.,Does the driver see the runners each morning?,0,
9913,The national critics complimented the director of the play which was opening to rave reviews abroad.,Were the reviews rave?,0,
9914,The safe opened with explosives was demolished and its contents were completely burned.,Were the contents of the safe destroyed?,0,
9915,The architects from the firm showed the company the design proposed for the new building.,Did the architects present the building's design?,0,
9916,One of the dentists from the clinic has volunteered to teach the trainees the new method.,Did any dentist volunteer?,0,
9917,The farmer who the ranchers hired for the job has carefully piled the seeds in long rows.,Were the seeds carefully arranged?,0,
9918,One of the council gardeners has been knocked down by a reckless driver who was going too fast.,Was the gardener from the council?,0,
9919,The soldiers that the natives helped to climb the mountains arrived home safely.,Were the soldiers assisted?,0,
9920,A professor praised at the conference announced his retirement to make room for young talent.,Was the professor praised?,0,
9921,One of the comets discovered by the astronomer was the largest known of its kind.,Did the astronomer discover a comet?,0,
9922,The demanding diners have praised the chef of the feast that was prepared using authentic ingredients.,Were the diners demanding?,0,
9923,Some of the game contestants have crammed the dollar bills on their pockets.,Did the contestants earn money?,0,
9924,A superhero imprisoned on a fortress escaped by using her magic powers and quick wits.,Did the superhero have magic powers?,0,
9925,The bus driver who the kids followed wondered about the location of the school after getting lost.,Did they get lost on their way to school?,0,
9926,A scientist has criticized the inventor of the drug because it was causing cancer in laboratory animals.,Was the drug causing cancer?,0,
9927,An activist has petitioned the right-wing congressman for his attempt to curb illegal immigration.,Was the congressman right wing?,0,
9928,The police officers were very outraged by the reckless driving of the Ferrari's owner.,Did the driver own a Ferrari?,0,
9929,The nanny has consulted the babysitters about the virus causing concern among the parents.,Were the parents concerned about the virus?,0,
9930,A sportscaster has interviewed the captain about the team hosting the state tournament.,Was there a state tournament?,0,
9931,The pilot who delayed the ground crew had remained on the runway for a long time.,Did the plane remain on the runway for a long time?,0,
9932,The speakers who entertained the economists have predicted a good year for the industry.,Did the speaker predict a good year for the industry?,0,
9933,The sculptor did not finish the project because he had a huge argument with his employer.,Was the sculptor angry at his employer?,0,
9934,The student hit by his peers on the courtyard registered a complaint with the school board.,Did the student register a complaint?,0,
9935,The professional that the amateur beat suffered a tremendous humiliation after the defeat.,Was the professional embarrassed?,0,
9936,One of the flowers sketched by the painter faded before the artist could paint over the figure.,Did the flower fade?,0,
9937,The dean of the faculty of Philosophy did not present the proud professor with the trophy.,Was the professor proud?,0,
9938,None of the lamps cleaned by the janitor in the morning shined brighter than the rest.,Did the janitor clean the lamps?,0,
9939,The man who followed the first lady to the gala was an undercover agent from the CIA.,Was the first lady followed by the CIA?,0,
9940,The farmer that approached the customers with a smile lifted the chickens from their coop.,Was the chicken in the coop?,0,
9941,One of the hospital nurses has been insulted by a drunken patient during the night shift.,Was there a drunken patient in the night shift?,0,
9942,The investigators who the agency phoned suspected Ms. Reynolds of committing the murder.,Was Mr. Reynolds a suspect?,0,
9943,The movie star who the organizers visited proposed the annual prize at the gala.,Was the prize proposed by a movie star?,0,
9944,The colonel did not restrain the commander who was ordering the troops to continue fighting.,Were the troops ordered to continue fighting?,0,
9945,The class that disliked the teacher skimmed the reading for the week as a sign of protest.,Was the teacher disliked by the class?,0,
9946,The employees that noticed the fireman hurried across the open field fearing for their lives.,Were the employees relaxed?,1,
9947,The philosopher misquoted by the dean wrote about the ethical treatment of animals.,Did the philosopher write about war?,1,
9948,A novelist signed by the agent did not participate in book talks or other promotional events.,Did the novelist participate in book talks?,1,
9949,The psychiatrist rewarded with a promotion did not enjoy the prestige of his new position.,Was the psychiatrist rewarded with an award?,1,
9950,A liberal congressman warned the president about the nation located within disputed territory.,Was the congressman conservative?,1,
9951,The firemen that the residents called attacked the fire with high-powered hoses.,Were the firemen called by the police?,1,
9952,The convict that asked for witness protection changed a critical part of the story during his testimony.,Did the convict stick to the original version?,1,
9953,The manager who the boss visited remembered some inconvenient facts about the factory.,Was the boss visited by a manager?,1,
9954,One of the businessmen annoyed by the waiter threatened to sue the hotel.,Did the waiter praise the businessmen?,1,
9955,The party that the bullies attended last weekend ended shortly after their arrival.,Did the bullies attend a conference?,1,
9956,No mathematicians who the chairman visited created a definite solution to the well-known problem.,Was the problem unknown?,1,
9957,The judge who addressed the witnesses noticed the concern of the defense attorneys in the room.,Did the judge address the defense attorneys?,1,
9958,Some of the waitresses from the restaurant took a tray of appetizers to the customers.,Did the waitresses take a tray of champagne?,1,
9959,The postman bitten by a dog needed seventeen stitches and had a permanent scar from the injury.,Was the postman bitten by a snake?,1,
9960,The principal questioned a member of the clique who was constantly mouthing off to teachers.,Was the member of the clique questioned by the teachers?,1,
9961,A socialite praised the hostess for the meticulous organization of the party to celebrate the Oscars.,Was the socialite praised by the hostess?,1,
9962,The neighbor did not approach the owner of the dog regarding its barking late at night.,Was the dog quiet during the night?,1,
9963,Some of the pet owners in the neighborhood have demanded separate play areas for dogs.,Did the pet owners want separate sidewalks for dogs?,1,
9964,A salesman called the buyer of the rifle who had been looking for antiques from the war.,Was the buyer looking for videogames?,1,
9965,No homeowner consulted an architect about the house constructed beside the lake.,Was the house far from the lake?,1,
9966,No new residents have marked their house number on the front door.,Did the new residents mark the house numbers?,1,
9967,The visitors who the students greeted with joy walked across the courtyard with incredulity.,Were the visitors insulted?,1,
9968,The stockholder queried the employees about the highly controversial and unfair policy.,Was the policy fair?,1,
9969,An affectionate trainer called by the worried jockey rubbed the horseâ€™s soft coat.,Did the trainer rub the dog?,1,
9970,A reporter approached the shocked victim of the attack by a suicide bomber.,Was the victim approached by the bomber?,1,
9971,Some of the deputies have explained the agenda for the international meeting to the president.,Was the meeting national?,1,
9972,An excited surgeon gave the newborn to its exhausted mother right after cutting the umbilical cord.,Was the surgeon indifferent?,1,
9973,The skater that the trainer hadn't helped has been preparing on his own for the major competition.,Was the skater helped by the trainer?,1,
9974,The girl that no clown approached during the birthday party spent the whole day crying.,Did the girl enjoy the party?,1,
9975,The mayor that didn't accept the inquiry had already been accused of embezzlement in the past.,Did the mayor accept the inquiry?,1,
9976,The team that amazed the public wasn't regarded as very experienced by the competition's jury.,Was the jury amazed by the team?,1,
9977,The policemen from my neighborhood's station didn't receive a single call during the entire weekend.,Were the policemen busy during the weekend?,1,
9978,No girls that the boy charmed throughout the school year had fallen in love with him.,Have the girls fallen in love with the boy?,1,
9979,None of the recruits that the commander mobilized for the mission had training in high risk operations.,Were the recruits trained in high risk operations?,1,
9980,The detective that the suspect couldn't recognize had been tracking ex-convicts for a long time,Did the suspect recognize the detective?,1,
9981,No good headmaster will ignore the suggestions shared by teaching staff and the students.,Should a good headmaster ignore the students' suggestions?,1,
9982,The parents of the violent adolescent haven't assumed their part of responsibility in his bad behavior.,Was the adolescent gentle?,1,
9983,An expert in climate change was summoned to appear before the congressional committee.,Did the congressional committee call an economist?,1,
9984,The secretary that the employees embarrassed for weeks has been complaining about her co-workers,Was the secretary happy about her co-workers?,1,
9985,One of the lions from the reserve attacked a group of British tourists that were on a safari.,Were the tourists on a cruise?,1,
9986,One of the assistants that the boss upset had never worked in such a competitive environment before.,Was the boss upset by the assistant?,1,
9987,The applicant that the rude manager interviewed for the vacancy has decided to withdraw his application.,Was the manager polite?,1,
9988,A policeman blamed himself for the incident at the headquarters in which two agents were injured.,Were the two agents killed in the incident?,1,
9989,One of the naval officers at the ceremony draped the flag over the coffin and gave it to the soldier's family.,Did the officer give the flag to the general?,1,
9990,One of the bags stowed by the stewardess in the passenger compartment was mistaken for a bomb.,Were the bags stowed by the pilot?,1,